1,2,Dynamite,BTS
2,1,WAP,Cardi B Featuring Megan Thee Stallion
3,-,Holy,Justin Bieber Featuring Chance The Rapper
4,3,Laugh Now Cry Later,Drake Featuring Lil Durk
5,6,Mood,24kGoldn Featuring iann dior
6,4,Rockstar,DaBaby Featuring Roddy Ricch
7,5,Blinding Lights,The Weeknd
8,7,Watermelon Sugar,Harry Styles
9,8,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo
10,11,I Hope,Gabby Barrett Featuring Charlie Puth
11,9,Before You Go,Lewis Capaldi
12,10,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne"
13,13,Go Crazy,Chris Brown & Young Thug
14,12,Popstar,DJ Khaled Featuring Drake
15,15,For The Night,Pop Smoke Featuring Lil Baby & DaBaby
16,22,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV
17,16,Circles,Post Malone
18,14,Roses,SAINt JHN
19,17,Come & Go,Juice WRLD x Marshmello
20,26,Mood Swings,Pop Smoke Featuring Lil Tjay
