今週,先週,先々週,タイトル,アーティスト
1,5,13,BACKSTAY,さかいゆう
2,4,10,ギガアイシテル,レキシ
3,19,-,Boogie Ride,久保田利伸
4,1,2,turn over?,Mr.Children
5,17,-,散りてなお,手嶌葵
6,3,4,Gravity,BUMP OF CHICKEN
7,2,1,Time Warp,Perfume
8,NEW,-,ハニーメモリー,aiko
9,NEW,-,Super good,藤原さくら
10,7,3,朝陽,あいみょん
11,8,14,Trouble,LUCKY TAPES
12,29,-,Favorite Rendezvous,大橋トリオ
13,6,9,何言ってるか分かんないけど何かいい感じ,Okayuka
14,21,-,Letter,Surrounded By Enemies
15,22,-,Out of Reach,BANANAGUN
16,NEW,-,Juliet,D.Y.T
17,9,7,あのねこの話 feat. クボタカイ,みゆな
18,NEW,-,東京は燃えてる,GLIM SPANKY
19,10,5,GO STRAIGHT,クニタケ ヒロキ　from THE FOREVER YOUNG
20,26,-,夜とシンセサイザー,Lucky Kilimanjaro
21,NEW,-,大迷惑星。,當山みれい
22,NEW,-,When We Disco (Duet with SUNMI) -Japanese ver.-,J.Y. Park
23,NEW,-,アカシア,BUMP OF CHICKEN
24,NEW,-,化かしHOUR NIGHT,ビッケブランカ VS 岡崎体育
25,NEW,-,未来予想図II - DOSCO prime Version -,DREAMS COME TRUE
26,NEW,-,Love Your Love,竹内アンナ
27,NEW,-,The Moment,Ryohu
28,NEW,-,Here We Go Around Again (1990),Mariah Carey
29,30,-,Love Looks Better,Alicia　Keys
30,NEW,-,ダイアローグ,ASIAN KUNG-FU GENERATION
