01,01,Dynamite,BTS
02,16,Don't,Doul
03,08,WONDER,SHAWN MENDES
04,05,LET'S LOVE,DAVID GUETTA & SIA
05,04,WHENEVER YOU CALL,嵐
06,02,HOLY,JUSTIN BIEBER feat. Chance the Rapper
07,03,LOVE LOOKS BETTER,ALICIA KEYS
08,07,DO WHAT YOU CAN,BON JOVI
09,09,MAGIC,KYLIE MINOGUE
10,29,GHOSTS,BRUCE SPRINGSTEEN
11,10,STRANGE TIMEZ ,GORILLAZ feat. ROBERT SMITH
12,11,cardigan,TAYLOR SWIFT
13,06,OVER NOW,CALVIN HARRIS & THE WEEKND
14,15,DIAMONDS,SAM SMITH
15,12,IN THE END,SHERYL CROW
16,40,SHOT IN THE DARK,AC/DC
17,22,Here We Go Around Again,Mariah Carey
18,23,MOOD,24kGoldn feat. Iann Dior
19,24,LIE LIKE THIS,JULIA MICHAELS
20,-,LONELY,JUSTIN BIEBER & BENNY BLANCO
21,17,朝陽,あいみょん
22,18,SMILE,KATY PERRY
23,31,Back to the Future(1999),michel ko
24,20,WAP,CARDI B feat. MEGAN THEE STALLION
25,14,911,LADY GAGA
26,25,FUNNY,ZEDD & JASMINE THOMPSON
27,36,FRANCHISE,TRAVIS SCOTT feat. Young Thug & M.I.A.
28,38,JEWELZ,ANDERSON .PAAK
29,21,WHAT THEY'LL SAY ABOUT US,FINNEAS
30,13,NOBODY'S LOVE,MAROON 5
31,28,LITTLE SOMETHING,MELODY GARDOT & STING
32,35,Super good,藤原 さくら
33,26,BE A REBEL,NEW ORDER
34,39,DOWN WITH THE SHIP,TODD RUNDGREN & RIVERS CUOMO
35,-,散りてなお,手嶌 葵
36,-,ROLLED UP,BENNY SINGS feat. Mac DeMarco
37,-,SAVAGE LOVE (LAXED-SIREN BEAT),JAWSH 685 × JASON DERULO×BTS
38,-,JAM ON,"BOOTSY COLLINS feat. Snoop Dogg & Brandon ""TAZ"" Niederauer"
39,-,CAN'T PUT IT IN THE HANDS OF FATE,STEVIE WONDER
40,-,BE MY EYES ,PENTATONIX
