1,2,LOVE LOOKS BETTER,ALICIA KEYS
2,4,HOLY,JUSTIN BIEBER FEAT. CHANCE THE RAPPER
3,1,LET'S LOVE,DAVID GUETTA AND SIA
4,10,WHAT A TIME,FICKLE FRIENDS
5,14,THE MOMENT,RYOHU
6,6,極彩 | I G L (S),ROTH BART BARON
7,18,WONDER,SHAWN MENDES
8,9,LOVE YOUR LOVE,竹内  アンナ
9,3,DYNAMITE,BTS
10,65,LIE LIKE THIS,JULIA MICHAELS
11,5,GONNA BE GOOD,NENASHI FEAT. J.LAMOTTA すずめ
12,29,LOVESICK GIRLS,BLACKPINK
13,7,LIFETIME,ROMY
14,16,16YRS,DOUL
15,17,生きるをする,マカロニえんぴつ
16,15,DIAMONDS,SAM SMITH
17,-,ハニーメモリー,AIKO
18,54,揺れてたブランコ,トーキョーベートーヴェン FEAT. 武藤  千春
19,47,FREEFALL,WHETHAN FEAT. OLIVER TREE
20,60,FAVORITE RENDEZVOUS,大橋  トリオ
21,26,WORTH IT,BEABADOOBEE
22,19,I'M,DENIMS
23,13,WHENEVER YOU CALL,嵐
24,21,MAGIC,KYLIE MINOGUE
25,44,RAINMAN,ANDROP
26,8,THE PLAN (FROM THE MOTION PICTURE TENET),TRAVIS SCOTT
27,69,FORGET ME TOO,MACHINE GUN KELLY FEAT. HALSEY
28,97,BET YOU WANNA,BALCKPINK FEAT. CARDI B
29,25,TURN OVER?,MR.CHILDREN
30,27,ゾッコン,MONO NO AWARE
31,35,アカシア,BUMP OF CHICKEN
32,20,感電,米津  玄師
33,-,ピカロ,空白ごっこ
34,12,帰ろう,藤井  風
35,31,SEXUAL HEALING,SKY-HI
36,45,AME,SHINN YAMADA
37,11,TURNTABLES,JANELLE MONAE
38,41,HURT,ARLO PARKS
39,28,BLUEBERRY EYES,MAX FEAT. SUGA OF BTS
40,-,風を食む,ヨルシカ
41,78,箒星飴店,RIN音
42,-,BOOGIE RIDE,久保田  利伸
43,30,HOT STUFF,KYGO AND DONNA SUMMER
44,43,OVER NOW,"CALVIN HARRIS, THE WEEKND"
45,48,トーチソング,ズーカラデル
46,-,SUPER GOOD,藤原  さくら
47,32,夜に駆ける,YOASOBI
48,86,DONUTS MIND IF I DO,CHAI
49,51,二人静 (PIANO VER.),ユアネス
50,33,FRESH,TENDRE FEAT. RYOHU
51,52,ROLLIN',WONK
52,77,LA・LA・LA LOVE SONG,JUJU
53,22,ギガアイシテル,レキシ
54,23,ICE CREAM,BLACKPINK AND SELENA GOMEZ
55,-,NO SUN,KID FRESINO
56,100,YOUR MAN,JOJI
57,66,IN THE END,SHERYL CROW
58,34,BE A REBEL,NEW ORDER
59,46,BABY IT'S YOU,LONDON GRAMMER
60,-,LEVITATING,DUA LIPA FEAT. DABABY
61,92,SALT LICORICE,JONSI WITH ROBYN
62,74,BREAKDOWN,MICHAEL KANEKO FEAT. DAICHI YAMAMOTO
63,36,浪漫,PEDRO
64,38,SMILE,KATY PERRY
65,-,JEWELZ,ANDERSON .PAAK
66,75,YDY,ゲスの極み乙女。
67,58,GODSPEED,JAMES BLAKE
68,94,東京は燃えてる,GLIM SPANKY
69,57,WAKE ME UP,フレデリック
70,-,ダイアローグ,ASIAN KUNG-FU GENERATION
71,-,FLOWER,PULPS
72,87,SURVIVIN',BASTILLE
73,-,WAVING AT THE WINDOW,TRAVIS
74,39,OK NOT TO BE OK,MARSHMELLO AND DEMI LOVATO
75,Re,TERRITORY,藤原  ヒロシ
76,-,BE ALL LIE,ユアネス
77,79,RAIN ON ME,LADY GAGA WITH ARIANA GRANDE
78,-,FEELS RIGHT,ROOSEVELT
79,-,BETTER DAYS,ALI FEAT. DOS MONOS
80,89,COWBOY IN LA,LANY
81,61,群青,YOASOBI
82,67,AH!,ラブリーサマーちゃん
83,Re,MONSTER,藤原  さくら
84,59,LASTING LOVER,SIGALA AND JAMES ARTHUR
85,63,CARDIGAN,TAYLOR SWIFT
86,50,黒いエレキ,西片  梨帆
87,-,THINK TWICE,KAN SANO
88,-,SANTE,?TE (WHYTE)
89,53,VIDA LOCA,"BLACK EYED PEAS, NICKY JAM AND TYGA"
90,56,TICK TOCK [SAM FELDT REMIX],CLEAN BANDIT AND MABEL FEAT. 24KGOLDN
91,37,TOKYO MOTION,BIM FEAT. 高城  晶平
92,-,エメラルド,BACK NUMBER
93,24,朝陽,あいみょん
94,83,HIDE AND SEEK,SANKARA
95,42,TIME WARP,PERFUME
96,40,JOKE,TENDRE
97,-,炎,LISA
98,70,君はさせてくれる,BBHF
99,81,PUT YOUR RECORDS ON,RITT MOMNEY
100,-,HERE WE GO AROUND AGAIN (1990),MARIAH CAREY
